transactionId,timestamp,amount,currency,transactionType,channel,senderAccount,receiverAccount,ip_address,location,velocity,failed_attempts,status,is_fraud
TXN100016,2026-01-03 16:10:07.790493,895,INR,WITHDRAW,ATM,AC73156734,AC21688457,192.168.12.117,Delhi,3,4,PENDING,1
TXN100017,2025-12-19 20:54:07.790493,76019,INR,PAYMENT,NETBANKING,AC39956417,AC60970371,192.168.137.201,Mumbai,5,2,PENDING,1
TXN100018,2025-12-22 14:56:07.790493,127534,INR,TRANSFER,ATM,AC58471246,AC33597550,172.23.217.86,Bangalore,0,1,PENDING,1
TXN100019,2025-12-13 05:58:07.790493,11051,EUR,PAYMENT,NETBANKING,AC46887898,AC78214481,172.20.41.70,Delhi,5,2,PENDING,1
TXN100020,2025-12-21 08:27:07.790493,5857,USD,PAYMENT,MOBILE,AC96549182,AC76192791,192.168.216.168,Mumbai,2,1,SUCCESS,0
TXN100021,2025-12-11 04:32:07.790493,4950,USD,PAYMENT,ATM,AC41273408,AC94486601,192.168.146.147,Mumbai,5,2,PENDING,1
TXN100022,2025-12-30 09:22:07.790493,3033,USD,WITHDRAW,MOBILE,AC31697879,AC29289839,192.168.159.77,Delhi,3,2,PENDING,1
TXN100023,2025-12-19 18:57:07.790493,79061,USD,TRANSFER,MOBILE,AC21048073,AC24412675,192.168.232.80,Mumbai,5,3,PENDING,1
TXN100024,2025-12-24 23:09:07.790493,584,USD,PAYMENT,NETBANKING,AC50379528,AC46214749,192.168.155.188,Delhi,2,1,SUCCESS,0
TXN100025,2025-12-10 10:38:07.790493,3631,EUR,WITHDRAW,MOBILE,AC76354003,AC47617042,192.168.38.41,Bangalore,0,1,SUCCESS,0
TXN100026,2025-12-08 07:49:07.790493,5726,USD,PAYMENT,CARD,AC68955153,AC95950614,192.168.3.61,Hyderabad,3,2,PENDING,1
TXN100027,2025-12-13 07:22:07.790493,179291,INR,WITHDRAW,ATM,AC92565004,AC10109510,192.168.37.132,Mumbai,0,0,PENDING,1
TXN100028,2026-01-01 19:44:07.790493,12713,INR,WITHDRAW,ATM,AC30791575,AC19860764,172.30.122.56,Hyderabad,6,4,PENDING,1
TXN100029,2025-12-07 20:26:07.790493,50256,INR,PAYMENT,NETBANKING,AC38899727,AC90499937,192.168.25.217,Delhi,2,2,PENDING,1
TXN100030,2025-12-06 10:19:07.790493,2804,EUR,WITHDRAW,CARD,AC80871694,AC74516025,192.168.145.12,Bangalore,4,4,PENDING,1
TXN100031,2025-12-10 11:00:07.790493,9146,EUR,TRANSFER,MOBILE,AC56472988,AC68448787,192.168.65.67,Delhi,1,3,PENDING,1
TXN100032,2025-12-08 20:45:07.790493,84185,EUR,WITHDRAW,NETBANKING,AC84970773,AC14513888,192.168.10.127,Mumbai,4,2,PENDING,1
TXN100033,2025-12-21 08:52:07.790493,6008,INR,TRANSFER,NETBANKING,AC76973629,AC52614286,172.26.40.145,Hyderabad,4,3,PENDING,1
TXN100034,2025-12-30 15:34:07.790493,11677,USD,WITHDRAW,CARD,AC95106081,AC56643153,192.168.69.164,Hyderabad,4,1,PENDING,1
TXN100035,2025-12-18 16:57:07.790493,2365,USD,TRANSFER,NETBANKING,AC74363948,AC53497100,192.168.10.70,Hyderabad,6,1,PENDING,1
TXN100036,2025-12-12 09:29:07.790493,19099,USD,TRANSFER,ATM,AC35322791,AC67888771,192.168.20.12,Mumbai,4,0,PENDING,1
TXN100037,2025-12-11 20:15:07.790493,1286,USD,WITHDRAW,CARD,AC78587260,AC65956850,192.168.239.187,Delhi,1,0,SUCCESS,0
TXN100038,2025-12-10 13:23:07.790493,55458,EUR,PAYMENT,ATM,AC84329397,AC91710011,192.168.139.225,Mumbai,2,2,PENDING,1
TXN100039,2025-12-15 16:44:07.790493,153187,EUR,WITHDRAW,CARD,AC83400624,AC91698387,192.168.244.95,Delhi,6,4,PENDING,1
TXN100040,2025-12-09 12:18:07.790493,132288,INR,PAYMENT,CARD,AC86578912,AC88858285,192.168.156.239,Bangalore,2,1,PENDING,1
TXN100041,2025-12-24 03:04:07.790493,758,INR,WITHDRAW,CARD,AC40894729,AC38848554,192.168.11.238,Hyderabad,6,0,PENDING,1
TXN100042,2025-12-31 02:13:07.790493,2719,EUR,PAYMENT,CARD,AC41654226,AC62018281,172.20.3.120,Mumbai,6,2,PENDING,1
TXN100043,2025-12-19 10:22:07.790493,2440,EUR,WITHDRAW,CARD,AC76383989,AC55363456,192.168.204.47,Mumbai,6,4,PENDING,1
TXN100044,2025-12-25 20:29:07.790493,50718,EUR,WITHDRAW,MOBILE,AC27576938,AC48758053,172.18.6.73,Mumbai,3,1,PENDING,1
TXN100045,2025-12-20 21:17:07.790493,13949,EUR,WITHDRAW,MOBILE,AC11643571,AC12584857,172.26.199.176,Bangalore,2,1,PENDING,1
TXN100046,2026-01-02 23:38:07.790493,128913,USD,WITHDRAW,MOBILE,AC36877290,AC67169743,192.168.19.27,Hyderabad,4,4,PENDING,1
TXN100047,2025-12-11 07:37:07.790493,348,USD,WITHDRAW,MOBILE,AC20356593,AC71424674,192.168.168.90,Hyderabad,4,2,PENDING,1
TXN100048,2025-12-12 03:08:07.790493,3012,EUR,PAYMENT,ATM,AC51234570,AC61344629,192.168.222.86,Bangalore,2,3,PENDING,1
TXN100049,2025-12-21 16:46:07.790493,4170,INR,WITHDRAW,ATM,AC13781921,AC38942924,172.29.61.55,Bangalore,4,3,PENDING,1
TXN100050,2025-12-30 13:16:07.790493,18667,USD,WITHDRAW,ATM,AC63770560,AC11660065,172.24.85.106,Delhi,0,0,PENDING,1
TXN100051,2025-12-27 22:51:07.790493,51217,EUR,WITHDRAW,NETBANKING,AC13330010,AC24015506,192.168.40.2,Delhi,0,3,PENDING,1
TXN100052,2026-01-01 01:55:07.790493,1680,USD,WITHDRAW,CARD,AC19175770,AC51691108,192.168.125.208,Bangalore,0,3,PENDING,1
TXN100053,2025-12-12 04:51:07.790493,96239,INR,PAYMENT,CARD,AC10667879,AC31755135,192.168.238.250,Hyderabad,1,0,PENDING,1
TXN100054,2025-12-29 00:03:07.790493,13574,EUR,PAYMENT,MOBILE,AC90159945,AC50276855,192.168.6.67,Bangalore,3,3,PENDING,1
TXN100055,2025-12-10 06:48:07.790493,152471,INR,WITHDRAW,ATM,AC11038188,AC49964758,192.168.152.97,Hyderabad,6,2,PENDING,1
TXN100056,2025-12-14 10:27:07.790493,176598,INR,TRANSFER,MOBILE,AC25074986,AC73683358,192.168.53.201,Mumbai,2,0,PENDING,1
TXN100057,2026-01-02 08:28:07.790493,13529,USD,TRANSFER,CARD,AC75209941,AC78304778,192.168.91.63,Mumbai,6,3,PENDING,1
TXN100058,2025-12-06 04:11:07.790493,3823,USD,TRANSFER,NETBANKING,AC73258619,AC53736094,192.168.69.27,Hyderabad,3,1,SUCCESS,0
TXN100059,2025-12-18 22:19:07.790493,8916,INR,PAYMENT,MOBILE,AC25285290,AC74880987,192.168.58.3,Hyderabad,6,4,PENDING,1
TXN100060,2025-12-14 14:06:07.790493,5295,EUR,WITHDRAW,ATM,AC95397978,AC14645829,192.168.240.245,Bangalore,2,1,SUCCESS,0
TXN100061,2025-12-16 00:09:07.790493,6857,USD,WITHDRAW,MOBILE,AC55327654,AC69694998,192.168.157.22,Mumbai,6,4,PENDING,1
TXN100062,2025-12-14 12:00:07.790493,853,USD,TRANSFER,MOBILE,AC53000058,AC23301165,192.168.208.22,Hyderabad,6,4,PENDING,1
TXN100063,2025-12-30 02:24:07.790493,177230,USD,PAYMENT,CARD,AC15132779,AC84962181,192.168.186.223,Hyderabad,4,4,PENDING,1
TXN100064,2025-12-14 13:27:07.790493,7441,USD,TRANSFER,NETBANKING,AC73251647,AC75534453,192.168.192.188,Mumbai,5,3,PENDING,1
TXN100065,2026-01-02 19:07:07.790493,3920,INR,WITHDRAW,MOBILE,AC93630648,AC59609653,192.168.228.152,Mumbai,4,0,PENDING,1
TXN100066,2025-12-31 12:09:07.790493,7727,INR,WITHDRAW,CARD,AC93023997,AC98501233,192.168.235.179,Bangalore,1,3,PENDING,1
TXN100067,2025-12-06 18:58:07.790493,4693,EUR,PAYMENT,CARD,AC20864772,AC22097252,192.168.226.179,Bangalore,3,4,PENDING,1
TXN100068,2025-12-25 13:21:07.790493,17211,INR,WITHDRAW,ATM,AC30700312,AC79253659,192.168.163.97,Mumbai,3,3,PENDING,1
TXN100069,2025-12-29 02:36:07.790493,2861,INR,PAYMENT,CARD,AC91186996,AC45515981,192.168.244.66,Mumbai,3,1,SUCCESS,0
TXN100070,2025-12-29 03:29:07.790493,50626,INR,WITHDRAW,CARD,AC42911128,AC61468076,192.168.150.115,Bangalore,5,4,PENDING,1
TXN100071,2025-12-25 06:50:07.790493,16162,EUR,WITHDRAW,ATM,AC61109072,AC23991023,192.168.74.129,Bangalore,6,3,PENDING,1
TXN100072,2025-12-30 14:51:07.790493,156607,USD,WITHDRAW,NETBANKING,AC39410049,AC96352962,172.24.81.188,Mumbai,1,2,PENDING,1
TXN100073,2025-12-18 14:45:07.790493,2768,INR,TRANSFER,MOBILE,AC88504190,AC31363066,172.23.102.83,Delhi,4,0,PENDING,1
TXN100074,2025-12-25 01:59:07.790493,2409,EUR,TRANSFER,NETBANKING,AC52947548,AC20699446,192.168.25.208,Mumbai,3,1,SUCCESS,0
TXN100075,2025-12-31 09:23:07.790493,2550,EUR,WITHDRAW,NETBANKING,AC55859626,AC89982065,192.168.16.23,Hyderabad,6,0,PENDING,1
TXN100076,2025-12-28 22:20:07.790493,3905,INR,PAYMENT,NETBANKING,AC43460639,AC97119194,172.20.109.172,Delhi,6,2,PENDING,1
TXN100077,2025-12-30 21:55:07.790493,113,EUR,PAYMENT,ATM,AC78882001,AC78897178,192.168.7.239,Delhi,3,1,SUCCESS,0
TXN100078,2025-12-20 18:53:07.790493,11174,INR,TRANSFER,MOBILE,AC26914178,AC79934552,172.30.221.123,Delhi,4,0,PENDING,1
TXN100079,2025-12-17 11:10:07.790493,191289,INR,PAYMENT,NETBANKING,AC65403292,AC15418591,192.168.51.144,Hyderabad,2,3,PENDING,1
TXN100080,2025-12-30 10:11:07.790493,65061,EUR,PAYMENT,ATM,AC17889384,AC88209973,192.168.102.176,Hyderabad,5,0,PENDING,1
TXN100081,2025-12-07 18:44:07.790493,189843,INR,WITHDRAW,CARD,AC70131226,AC88207034,192.168.191.128,Delhi,3,1,PENDING,1
TXN100082,2025-12-19 12:45:07.790493,100880,USD,WITHDRAW,CARD,AC24137958,AC70239868,192.168.21.35,Bangalore,5,4,PENDING,1
TXN100083,2025-12-14 19:05:07.790493,6968,USD,TRANSFER,CARD,AC30945206,AC64204475,192.168.236.207,Delhi,3,3,PENDING,1
TXN100084,2025-12-30 17:29:07.790493,144432,USD,PAYMENT,NETBANKING,AC48108258,AC74164859,192.168.122.67,Delhi,3,0,PENDING,1
TXN100085,2025-12-10 07:49:07.790493,3332,USD,TRANSFER,MOBILE,AC39531750,AC44818594,192.168.72.224,Mumbai,1,3,PENDING,1
TXN100086,2025-12-24 08:49:07.790493,2785,EUR,WITHDRAW,NETBANKING,AC68406291,AC90656911,192.168.198.128,Bangalore,3,2,PENDING,1
TXN100087,2025-12-23 11:11:07.790493,3291,INR,WITHDRAW,CARD,AC60458761,AC46953613,172.18.12.67,Bangalore,0,4,PENDING,1
TXN100088,2025-12-06 21:30:07.790493,11443,EUR,PAYMENT,ATM,AC76285220,AC52714897,192.168.174.154,Mumbai,3,3,PENDING,1
TXN100089,2025-12-23 15:35:07.790493,1948,INR,WITHDRAW,NETBANKING,AC86637739,AC51383841,192.168.226.90,Mumbai,1,3,PENDING,1
TXN100090,2025-12-18 11:12:07.790493,5686,EUR,WITHDRAW,MOBILE,AC19793468,AC91599354,192.168.122.48,Hyderabad,4,3,PENDING,1
TXN100091,2025-12-27 17:42:07.790493,16973,USD,PAYMENT,MOBILE,AC29854566,AC49726156,192.168.139.18,Bangalore,5,1,PENDING,1
TXN100092,2025-12-28 17:49:07.790493,9085,EUR,WITHDRAW,NETBANKING,AC15690052,AC87314227,192.168.55.24,Mumbai,2,1,SUCCESS,0
TXN100093,2026-01-01 13:20:07.790493,8481,INR,WITHDRAW,NETBANKING,AC38158230,AC90334708,192.168.81.166,Bangalore,5,4,PENDING,1
TXN100094,2025-12-26 23:14:07.790493,182202,INR,PAYMENT,CARD,AC51746369,AC19891744,192.168.34.148,Hyderabad,3,1,PENDING,1
TXN100095,2025-12-12 19:33:07.790493,1114,INR,PAYMENT,NETBANKING,AC26199298,AC80373986,192.168.110.65,Delhi,5,1,PENDING,1
TXN100096,2025-12-26 03:32:07.790493,14983,USD,PAYMENT,ATM,AC67242884,AC89571842,192.168.55.108,Delhi,1,1,SUCCESS,0
TXN100097,2025-12-16 18:50:07.790493,85108,USD,TRANSFER,MOBILE,AC16253565,AC52755655,192.168.254.230,Hyderabad,4,0,PENDING,1
TXN100098,2026-01-03 14:10:07.790493,176085,EUR,TRANSFER,MOBILE,AC54254009,AC42766742,192.168.108.226,Bangalore,0,4,PENDING,1
TXN100099,2025-12-19 23:04:07.790493,143907,EUR,WITHDRAW,CARD,AC61387377,AC35603799,192.168.70.43,Hyderabad,3,0,PENDING,1
TXN100100,2025-12-21 05:20:07.790493,125504,USD,PAYMENT,CARD,AC60746772,AC52734889,192.168.233.114,Delhi,3,3,PENDING,1
TXN100101,2026-01-01 06:38:07.790493,1095,USD,PAYMENT,CARD,AC24866601,AC65747110,192.168.105.241,Bangalore,3,1,SUCCESS,0
TXN100102,2025-12-29 23:25:07.790493,5935,USD,TRANSFER,NETBANKING,AC65207119,AC66662096,192.168.178.111,Hyderabad,0,4,PENDING,1
TXN100103,2025-12-26 05:50:07.790493,102677,USD,WITHDRAW,ATM,AC36295089,AC92657047,192.168.247.254,Hyderabad,1,2,PENDING,1
TXN100104,2025-12-21 04:21:07.790493,8094,USD,WITHDRAW,ATM,AC62347261,AC74583432,172.20.214.175,Mumbai,1,4,PENDING,1
TXN100105,2025-12-10 00:12:07.790493,157,EUR,TRANSFER,MOBILE,AC43960687,AC89563374,192.168.145.184,Mumbai,5,2,PENDING,1
TXN100106,2025-12-14 18:57:07.790493,91740,INR,TRANSFER,CARD,AC90815064,AC55096674,192.168.190.195,Mumbai,0,3,PENDING,1
TXN100107,2025-12-21 06:43:07.790493,196683,USD,TRANSFER,MOBILE,AC80498870,AC15467651,172.27.27.133,Delhi,3,3,PENDING,1
TXN100108,2025-12-04 23:19:07.790493,116969,INR,PAYMENT,NETBANKING,AC31456805,AC42516764,192.168.61.210,Delhi,1,0,PENDING,1
TXN100109,2025-12-11 13:44:07.790493,704,USD,PAYMENT,ATM,AC79045886,AC74193084,192.168.240.50,Mumbai,3,1,SUCCESS,0
TXN100110,2025-12-24 11:57:07.790493,6626,EUR,PAYMENT,ATM,AC91784134,AC88427693,192.168.226.75,Mumbai,3,3,PENDING,1
TXN100111,2026-01-02 02:32:07.790493,47,EUR,PAYMENT,NETBANKING,AC25987183,AC45204549,192.168.143.208,Hyderabad,5,4,PENDING,1
TXN100112,2025-12-22 12:58:07.790493,68875,EUR,WITHDRAW,MOBILE,AC38452744,AC65891269,192.168.230.65,Bangalore,6,1,PENDING,1
TXN100113,2025-12-29 04:13:07.790493,15474,EUR,TRANSFER,MOBILE,AC47319810,AC85052602,192.168.8.15,Hyderabad,1,0,SUCCESS,0
TXN100114,2025-12-29 02:56:07.790493,51534,USD,PAYMENT,NETBANKING,AC77464410,AC56665523,192.168.189.241,Delhi,6,1,PENDING,1
TXN100115,2026-01-01 08:57:07.790493,19381,USD,PAYMENT,CARD,AC40119302,AC26574355,172.27.136.151,Delhi,6,2,PENDING,1
TXN100116,2025-12-20 22:07:07.790493,13951,EUR,WITHDRAW,CARD,AC22361064,AC21599909,192.168.242.211,Mumbai,5,2,PENDING,1
TXN100117,2026-01-02 13:29:07.790493,1376,EUR,TRANSFER,ATM,AC68280623,AC29286129,192.168.205.195,Bangalore,4,3,PENDING,1
TXN100118,2026-01-02 05:10:07.790493,819,EUR,WITHDRAW,MOBILE,AC83551953,AC51410114,192.168.39.24,Bangalore,5,2,PENDING,1
TXN100119,2025-12-24 01:34:07.790493,2802,EUR,WITHDRAW,ATM,AC70358431,AC23150156,192.168.226.1,Delhi,3,3,PENDING,1
TXN100120,2025-12-17 19:53:07.790493,16066,EUR,TRANSFER,MOBILE,AC91565184,AC12943176,192.168.253.99,Bangalore,1,2,PENDING,1
TXN100121,2026-01-03 08:56:07.790493,4003,INR,PAYMENT,MOBILE,AC93541041,AC61555246,192.168.125.18,Delhi,2,2,PENDING,1
TXN100122,2025-12-30 08:16:07.790493,156487,USD,TRANSFER,ATM,AC79809131,AC52728754,192.168.192.172,Delhi,4,0,PENDING,1
TXN100123,2025-12-25 08:14:07.790493,2227,EUR,WITHDRAW,NETBANKING,AC36121808,AC45481987,192.168.168.50,Bangalore,5,0,PENDING,1
TXN100124,2025-12-28 15:18:07.790493,61658,EUR,WITHDRAW,CARD,AC99276295,AC11554583,192.168.41.83,Hyderabad,3,1,PENDING,1
TXN100125,2025-12-29 22:43:07.790493,10699,USD,PAYMENT,CARD,AC62508257,AC24247932,192.168.230.100,Delhi,4,2,PENDING,1
TXN100126,2026-01-02 13:28:07.790493,19323,USD,PAYMENT,MOBILE,AC87449733,AC67588281,172.23.233.67,Bangalore,4,1,PENDING,1
TXN100127,2025-12-29 16:42:07.790493,185909,EUR,TRANSFER,MOBILE,AC32448699,AC42767070,192.168.1.139,Bangalore,0,1,PENDING,1
TXN100128,2025-12-27 20:13:07.790493,2901,USD,WITHDRAW,ATM,AC15834091,AC74721437,192.168.180.85,Bangalore,3,3,PENDING,1
TXN100129,2025-12-25 10:46:07.790493,3731,USD,TRANSFER,NETBANKING,AC50422190,AC50980602,192.168.201.135,Hyderabad,1,1,SUCCESS,0
TXN100130,2025-12-11 12:24:07.790493,18876,EUR,WITHDRAW,CARD,AC33954788,AC72874449,172.27.199.179,Hyderabad,4,0,PENDING,1
TXN100131,2026-01-03 03:17:07.790493,3154,INR,WITHDRAW,CARD,AC56338387,AC71913742,172.30.185.26,Bangalore,3,4,PENDING,1
TXN100132,2025-12-16 16:01:07.790493,546,INR,PAYMENT,CARD,AC57999334,AC67057787,192.168.1.62,Delhi,3,1,SUCCESS,0
TXN100133,2026-01-01 21:52:07.790493,7372,USD,WITHDRAW,MOBILE,AC14314371,AC22447887,192.168.102.206,Mumbai,0,4,PENDING,1
TXN100134,2025-12-29 09:19:07.790493,391,USD,WITHDRAW,MOBILE,AC53304241,AC48910137,192.168.232.56,Delhi,3,4,PENDING,1
TXN100135,2025-12-11 18:34:07.790493,2834,USD,PAYMENT,NETBANKING,AC27817474,AC20686861,172.20.130.121,Mumbai,4,1,PENDING,1
TXN100136,2025-12-16 12:54:07.790493,8660,USD,TRANSFER,ATM,AC43531731,AC94630143,192.168.102.151,Delhi,6,1,PENDING,1
TXN100137,2025-12-29 19:44:07.790493,90103,INR,TRANSFER,ATM,AC15551067,AC10827458,192.168.128.211,Mumbai,1,4,PENDING,1
TXN100138,2025-12-27 20:08:07.790493,2916,USD,WITHDRAW,MOBILE,AC81121600,AC41085187,192.168.82.207,Hyderabad,1,2,PENDING,1
TXN100139,2026-01-02 05:51:07.790493,1033,USD,PAYMENT,ATM,AC27892242,AC57094422,172.29.228.29,Delhi,2,1,PENDING,1
TXN100140,2025-12-07 07:58:07.790493,67473,EUR,PAYMENT,MOBILE,AC59345887,AC12773767,172.19.218.117,Hyderabad,4,3,PENDING,1
TXN100141,2025-12-15 00:08:07.790493,97288,USD,TRANSFER,NETBANKING,AC59172620,AC69023673,192.168.155.13,Bangalore,1,1,PENDING,1
TXN100142,2025-12-21 01:03:07.790493,145223,EUR,WITHDRAW,CARD,AC70270120,AC30352479,192.168.187.108,Mumbai,1,0,PENDING,1
TXN100143,2026-01-02 20:37:07.790493,3528,EUR,PAYMENT,NETBANKING,AC12523926,AC87149169,192.168.109.73,Mumbai,2,3,PENDING,1
TXN100144,2025-12-09 03:02:07.790493,2266,EUR,PAYMENT,ATM,AC64987916,AC79586839,192.168.43.215,Mumbai,0,2,PENDING,1
TXN100145,2025-12-30 05:44:07.790493,495,EUR,PAYMENT,CARD,AC86166845,AC31376694,172.21.69.211,Bangalore,4,1,PENDING,1
TXN100146,2025-12-15 19:27:07.790493,4525,USD,WITHDRAW,CARD,AC89497826,AC49594719,192.168.232.48,Hyderabad,2,4,PENDING,1
TXN100147,2025-12-25 04:28:07.790493,68773,EUR,WITHDRAW,CARD,AC22995737,AC63066053,172.26.37.250,Delhi,4,2,PENDING,1
TXN100148,2025-12-24 19:06:07.790493,87987,INR,TRANSFER,MOBILE,AC50807691,AC18476428,192.168.176.65,Mumbai,5,0,PENDING,1
TXN100149,2025-12-29 05:06:07.790493,16039,INR,TRANSFER,CARD,AC45970360,AC14501766,192.168.57.22,Bangalore,1,1,SUCCESS,0
TXN100150,2025-12-13 20:27:07.790493,16694,INR,WITHDRAW,MOBILE,AC95806529,AC49513791,172.25.208.33,Hyderabad,4,1,PENDING,1
TXN100151,2025-12-21 13:32:07.790493,8754,INR,WITHDRAW,MOBILE,AC11676479,AC36380051,192.168.48.197,Delhi,2,2,PENDING,1
TXN100152,2025-12-16 11:40:07.790493,2512,EUR,TRANSFER,CARD,AC67468293,AC67984629,192.168.188.190,Hyderabad,5,3,PENDING,1
TXN100153,2026-01-02 05:54:07.790493,17941,INR,WITHDRAW,ATM,AC67384371,AC73983765,192.168.65.18,Bangalore,4,3,PENDING,1
TXN100154,2025-12-18 23:25:07.790493,2281,EUR,PAYMENT,NETBANKING,AC26912671,AC51113909,192.168.189.81,Bangalore,5,1,PENDING,1
TXN100155,2025-12-10 06:20:07.790493,14616,EUR,WITHDRAW,CARD,AC93646632,AC94081645,192.168.37.9,Mumbai,0,1,SUCCESS,0
TXN100156,2025-12-23 02:02:07.790493,99405,INR,TRANSFER,CARD,AC91674583,AC69705199,192.168.75.102,Delhi,5,4,PENDING,1
TXN100157,2025-12-28 07:40:07.790493,17010,INR,TRANSFER,CARD,AC23564243,AC16754197,192.168.190.202,Hyderabad,1,4,PENDING,1
TXN100158,2025-12-08 22:26:07.790493,100678,INR,PAYMENT,ATM,AC99885059,AC85678361,192.168.136.46,Bangalore,5,4,PENDING,1
TXN100159,2025-12-13 13:08:07.790493,4974,USD,PAYMENT,MOBILE,AC28477107,AC33017070,172.31.110.198,Hyderabad,5,0,PENDING,1
TXN100160,2025-12-22 07:27:07.790493,1675,INR,WITHDRAW,MOBILE,AC34207389,AC73499562,192.168.34.32,Hyderabad,6,1,PENDING,1
TXN100161,2025-12-31 22:20:07.790493,121094,EUR,PAYMENT,MOBILE,AC34792900,AC20027319,172.23.31.44,Mumbai,1,0,PENDING,1
TXN100162,2025-12-07 22:10:07.790493,13325,EUR,WITHDRAW,CARD,AC90467836,AC86087789,192.168.184.232,Delhi,6,0,PENDING,1
TXN100163,2025-12-07 16:07:07.790493,197892,INR,WITHDRAW,NETBANKING,AC13441434,AC32276142,192.168.79.27,Mumbai,0,1,PENDING,1
TXN100164,2025-12-28 04:50:07.790493,9315,EUR,WITHDRAW,CARD,AC37261875,AC89685709,192.168.164.99,Hyderabad,4,0,PENDING,1
TXN100165,2025-12-06 00:19:07.790493,1312,INR,WITHDRAW,CARD,AC83717398,AC15726156,192.168.86.216,Delhi,3,0,SUCCESS,0
TXN100166,2025-12-12 13:17:07.790493,105528,INR,TRANSFER,MOBILE,AC64995883,AC83818847,172.20.181.72,Delhi,5,2,PENDING,1
TXN100167,2025-12-29 22:03:07.790493,9043,INR,WITHDRAW,CARD,AC65106904,AC55842049,192.168.47.121,Delhi,6,0,PENDING,1
TXN100168,2025-12-29 11:51:07.790493,1773,INR,WITHDRAW,MOBILE,AC20396426,AC57333077,192.168.247.21,Bangalore,5,4,PENDING,1
TXN100169,2025-12-23 21:11:07.790493,13033,EUR,WITHDRAW,ATM,AC82673081,AC91752202,172.26.166.41,Bangalore,3,3,PENDING,1
TXN100170,2025-12-13 00:35:07.790493,2726,INR,TRANSFER,ATM,AC12328717,AC36707397,192.168.139.134,Bangalore,5,2,PENDING,1
TXN100171,2025-12-18 21:09:07.790493,82483,INR,WITHDRAW,ATM,AC51025236,AC98092432,172.25.209.211,Bangalore,4,0,PENDING,1
TXN100172,2025-12-17 05:08:07.790493,15339,EUR,PAYMENT,CARD,AC21935325,AC92195454,172.25.86.55,Hyderabad,0,0,PENDING,1
TXN100173,2025-12-23 00:27:07.790493,2355,INR,PAYMENT,MOBILE,AC61723000,AC90484747,192.168.62.171,Bangalore,2,2,PENDING,1
TXN100174,2025-12-08 15:10:07.790493,17097,EUR,PAYMENT,MOBILE,AC65374379,AC55856931,192.168.104.129,Hyderabad,5,1,PENDING,1
TXN100175,2025-12-28 08:59:07.790493,18124,USD,WITHDRAW,ATM,AC16218296,AC61953719,172.30.101.26,Mumbai,2,2,PENDING,1
TXN100176,2025-12-08 06:55:07.790493,118718,INR,WITHDRAW,CARD,AC74122731,AC19035133,192.168.180.25,Mumbai,0,4,PENDING,1
