transactionId,timestamp,currency,amount,senderAccount,receiverAccount,transactionType,channel,status,ipAddress,location
TXN17646827113507743,2025-11-27 13:30:31,USD,36644.71,AC36581943,AC58206121,PAYMENT,NETBANKING,FAILED,122.202.95.76,Chennai
TXN17646827113505104,2025-11-14 21:28:31,USD,49213.84,AC30419054,AC93774218,WITHDRAW,NETBANKING,SUCCESS,71.204.231.61,Delhi
TXN17646827113504975,2025-12-01 08:05:31,USD,80353.01,AC68179014,AC17972091,DEPOSIT,ATM,SUCCESS,122.40.56.233,Mumbai
TXN17646827113501756,2025-11-28 17:29:31,INR,2623.15,AC14721615,AC16957982,WITHDRAW,CARD,FAILED,69.150.179.111,Hyderabad
TXN17646827113502852,2025-12-01 12:41:31,INR,71229.37,AC98503728,AC49499069,PAYMENT,MOBILE,PENDING,168.223.248.226,Pune
TXN17646827113508079,2025-11-23 12:47:31,USD,43216.61,AC84821167,AC36302248,WITHDRAW,CARD,FAILED,35.79.230.52,Chennai
TXN17646827113508362,2025-11-11 07:03:31,GBP,32404.15,AC92422442,AC94012239,PAYMENT,ATM,PENDING,53.80.53.69,Bangalore
TXN1764682711351702,2025-11-23 10:43:31,USD,72317.88,AC96232971,AC62021929,TRANSFER,ATM,FAILED,154.124.250.41,Chennai
TXN17646827113511439,2025-11-13 23:49:31,INR,42637.79,AC92650981,AC95594080,TRANSFER,CARD,FAILED,40.4.126.109,Hyderabad
TXN17646827113513727,2025-11-07 15:32:31,INR,44925.61,AC52567466,AC81677270,PAYMENT,ATM,FAILED,227.50.35.197,Pune
TXN17646827113516179,2025-11-19 17:27:31,EUR,51769.15,AC63044271,AC77313889,PAYMENT,MOBILE,PENDING,83.102.10.161,Delhi
TXN17646827113519969,2025-11-22 05:45:31,GBP,16751.86,AC30660145,AC18778422,WITHDRAW,CARD,FAILED,15.155.99.190,Chennai
TXN17646827113513386,2025-11-30 16:56:31,INR,8771.69,AC29909828,AC12619803,PAYMENT,MOBILE,SUCCESS,250.43.18.88,Pune
TXN17646827113516417,2025-11-04 14:47:31,INR,13846.6,AC29105761,AC57829255,PAYMENT,ATM,SUCCESS,164.104.24.12,Hyderabad
TXN17646827113514599,2025-11-20 21:22:31,EUR,67448.88,AC22464391,AC78704314,DEPOSIT,ATM,PENDING,254.49.206.140,Mumbai
TXN17646827113516095,2025-11-20 11:22:31,USD,29706.53,AC96527331,AC18534302,PAYMENT,NETBANKING,SUCCESS,181.194.123.141,Hyderabad
TXN17646827113513053,2025-11-11 06:40:31,EUR,23252.21,AC75742168,AC70905349,TRANSFER,ATM,PENDING,103.128.174.157,Mumbai
TXN17646827113515929,2025-11-28 01:19:31,GBP,42678.75,AC54791654,AC92253847,DEPOSIT,ATM,SUCCESS,107.140.207.192,Bangalore
TXN17646827113515113,2025-11-13 21:19:31,USD,25107.51,AC64789462,AC23683445,WITHDRAW,MOBILE,PENDING,127.7.137.102,Chennai
TXN17646827113515689,2025-11-08 03:53:31,USD,60116.36,AC49086521,AC67961169,TRANSFER,MOBILE,PENDING,114.138.252.171,Bangalore
TXN1764682711351284,2025-11-28 00:08:31,USD,30093.86,AC59635088,AC56926488,PAYMENT,CARD,SUCCESS,118.48.133.66,Bangalore
TXN17646827113526426,2025-11-11 05:57:31,GBP,11878.53,AC23484244,AC23249592,DEPOSIT,NETBANKING,FAILED,195.205.249.49,Bangalore
TXN17646827113529828,2025-11-23 10:53:31,GBP,86672.03,AC28133921,AC62866759,DEPOSIT,CARD,SUCCESS,36.35.101.162,Bangalore
TXN17646827113529896,2025-11-16 18:42:31,GBP,60350.93,AC60690254,AC38887586,WITHDRAW,CARD,SUCCESS,89.147.92.253,Hyderabad
TXN17646827113524479,2025-11-30 10:22:31,INR,19391.77,AC17376387,AC94190408,DEPOSIT,CARD,FAILED,76.190.209.137,Mumbai
TXN17646827113526852,2025-11-11 14:07:31,GBP,32921.26,AC52642153,AC76025994,TRANSFER,CARD,PENDING,137.63.155.202,Pune
TXN17646827113525096,2025-11-27 14:06:31,EUR,29322.88,AC83347550,AC37235114,WITHDRAW,ATM,FAILED,113.251.76.39,Hyderabad
TXN17646827113525340,2025-11-22 16:07:31,USD,73004.3,AC29333613,AC84558114,WITHDRAW,NETBANKING,FAILED,197.229.234.248,Chennai
TXN17646827113528299,2025-11-19 02:46:31,EUR,51927.89,AC55458126,AC28940478,WITHDRAW,NETBANKING,SUCCESS,121.8.31.0,Bangalore
TXN17646827113522546,2025-11-12 13:25:31,USD,23514.11,AC64352195,AC94192201,TRANSFER,MOBILE,SUCCESS,205.250.111.24,Chennai
TXN17646827113549503,2025-11-11 18:20:31,EUR,60076.62,AC72117419,AC37973543,TRANSFER,MOBILE,PENDING,61.199.92.245,Hyderabad
TXN17646827113549577,2025-11-20 18:54:31,INR,15574.59,AC62370899,AC64332707,DEPOSIT,CARD,PENDING,11.197.173.13,Delhi
TXN17646827113542390,2025-11-15 23:58:31,INR,39407.83,AC98605592,AC48456117,WITHDRAW,CARD,PENDING,184.184.111.254,Hyderabad
TXN17646827113548018,2025-11-30 01:39:31,GBP,2442.93,AC94644534,AC87241887,DEPOSIT,NETBANKING,FAILED,197.223.17.21,Bangalore
TXN17646827113546749,2025-11-21 17:52:31,USD,27094.09,AC15400858,AC41684031,WITHDRAW,ATM,FAILED,131.183.1.122,Mumbai
TXN1764682711354104,2025-11-05 03:46:31,USD,72972.73,AC55265312,AC30397533,TRANSFER,NETBANKING,SUCCESS,216.56.108.69,Chennai
TXN17646827113545117,2025-11-26 17:35:31,INR,34166.33,AC25964598,AC84975343,WITHDRAW,ATM,SUCCESS,62.163.119.79,Bangalore
TXN17646827113544934,2025-11-18 11:13:31,EUR,31134.11,AC11466694,AC12918296,DEPOSIT,CARD,FAILED,141.88.193.81,Bangalore
TXN17646827113553349,2025-11-03 09:34:31,GBP,4186.21,AC94402344,AC60185461,WITHDRAW,CARD,SUCCESS,21.161.80.110,Chennai
TXN17646827113553108,2025-11-15 05:13:31,USD,14041.33,AC45184606,AC63739055,DEPOSIT,CARD,FAILED,165.78.66.4,Pune
TXN17646827113559401,2025-11-08 15:19:31,GBP,89189.49,AC14947305,AC21441875,PAYMENT,CARD,PENDING,249.7.84.138,Pune
TXN17646827113552020,2025-11-22 15:54:31,EUR,22462.25,AC15744967,AC51828533,TRANSFER,MOBILE,FAILED,66.251.82.99,Chennai
TXN17646827113551800,2025-11-17 07:35:31,INR,30977.74,AC76971597,AC62715426,TRANSFER,NETBANKING,SUCCESS,104.69.202.47,Delhi
TXN17646827113555050,2025-11-29 00:22:31,USD,84144.96,AC53120380,AC55295254,PAYMENT,NETBANKING,SUCCESS,118.139.64.133,Bangalore
TXN17646827113553953,2025-11-12 21:44:31,INR,65479.58,AC77623846,AC98669948,PAYMENT,MOBILE,SUCCESS,198.210.84.48,Hyderabad
TXN17646827113555907,2025-11-11 17:32:31,INR,71652.68,AC33172378,AC95805430,PAYMENT,CARD,SUCCESS,172.47.84.239,Pune
TXN17646827113558164,2025-11-26 06:26:31,USD,2358.53,AC72962166,AC70325040,WITHDRAW,MOBILE,SUCCESS,28.211.9.173,Chennai
TXN17646827113557264,2025-11-15 20:11:31,USD,52136.96,AC75660981,AC10166302,WITHDRAW,CARD,PENDING,247.11.134.136,Mumbai
TXN17646827113554862,2025-11-28 12:46:31,INR,4477.89,AC78995172,AC26328441,WITHDRAW,ATM,PENDING,215.155.189.157,Chennai
TXN17646827113552083,2025-11-06 04:37:31,GBP,44974.01,AC87191521,AC11825391,PAYMENT,NETBANKING,PENDING,176.219.222.10,Hyderabad
TXN17646827113558978,2025-11-21 21:48:31,GBP,25032.22,AC90052463,AC32681485,DEPOSIT,ATM,PENDING,128.95.97.93,Bangalore
TXN17646827113556569,2025-11-29 22:29:31,INR,86655.14,AC15072119,AC31079748,PAYMENT,ATM,SUCCESS,197.120.119.115,Pune
TXN17646827113553554,2025-11-09 21:28:31,GBP,12331.29,AC48903355,AC55346077,WITHDRAW,MOBILE,SUCCESS,120.251.8.138,Delhi
TXN17646827113559318,2025-11-26 04:34:31,USD,88640.02,AC79382502,AC21932707,TRANSFER,MOBILE,PENDING,24.41.79.106,Bangalore
TXN17646827113562116,2025-11-26 01:44:31,INR,9045.73,AC50818524,AC40697490,TRANSFER,ATM,FAILED,155.83.222.86,Mumbai
TXN17646827113566098,2025-11-19 04:30:31,INR,69746.84,AC79040279,AC28385336,PAYMENT,NETBANKING,PENDING,11.67.157.183,Chennai
TXN17646827113563444,2025-11-03 09:16:31,GBP,5434.85,AC93054174,AC99765978,TRANSFER,CARD,PENDING,171.130.147.65,Chennai
TXN17646827113565452,2025-11-26 00:38:31,GBP,45347.38,AC34691058,AC54760644,DEPOSIT,CARD,FAILED,185.217.114.129,Hyderabad
TXN17646827113566931,2025-11-20 21:12:31,USD,12109.55,AC93722444,AC70919783,WITHDRAW,CARD,FAILED,3.255.67.189,Pune
TXN17646827113561132,2025-11-28 19:18:31,GBP,60277.42,AC38485891,AC88685986,WITHDRAW,CARD,SUCCESS,153.91.182.141,Hyderabad
TXN17646827113563304,2025-11-22 05:55:31,EUR,55329.79,AC84380538,AC28412494,DEPOSIT,CARD,FAILED,38.107.123.10,Mumbai
TXN17646827113563398,2025-11-17 23:32:31,USD,6684.58,AC38342179,AC51892352,PAYMENT,CARD,SUCCESS,148.45.76.222,Hyderabad
TXN17646827113564116,2025-11-05 15:26:31,INR,47837.98,AC86108949,AC59167905,TRANSFER,ATM,FAILED,88.66.143.115,Chennai
TXN17646827113562838,2025-11-21 14:26:31,GBP,16114.66,AC34143661,AC80966245,WITHDRAW,MOBILE,FAILED,214.94.42.150,Hyderabad
TXN17646827113567257,2025-11-23 05:36:31,USD,2656.75,AC63809210,AC26141385,PAYMENT,ATM,SUCCESS,253.143.79.102,Chennai
TXN17646827113568081,2025-11-09 12:57:31,USD,18551.4,AC63473512,AC44617246,TRANSFER,MOBILE,FAILED,45.156.179.255,Chennai
TXN17646827113573812,2025-11-17 02:25:31,GBP,758.79,AC12820634,AC89684691,TRANSFER,ATM,SUCCESS,87.241.65.255,Mumbai
TXN17646827113578580,2025-11-03 05:05:31,USD,28503.3,AC60430570,AC63507613,DEPOSIT,ATM,FAILED,253.137.93.87,Mumbai
TXN17646827113579693,2025-11-10 09:52:31,USD,74429.22,AC90201515,AC86941216,WITHDRAW,ATM,PENDING,146.74.62.5,Hyderabad
TXN17646827113574827,2025-11-28 17:52:31,USD,61322.37,AC97380251,AC94433931,DEPOSIT,MOBILE,SUCCESS,169.184.215.230,Delhi
TXN1764682711357391,2025-12-01 05:10:31,GBP,658.78,AC39028782,AC34829237,DEPOSIT,MOBILE,PENDING,7.141.1.57,Hyderabad
TXN17646827113579067,2025-11-27 22:41:31,INR,70392.21,AC93455835,AC81600473,TRANSFER,ATM,PENDING,45.3.133.194,Mumbai
TXN1764682711357605,2025-11-07 15:35:31,EUR,9869.27,AC53565267,AC44524628,WITHDRAW,ATM,FAILED,59.222.231.158,Bangalore
TXN17646827113573490,2025-11-09 13:25:31,USD,39017.93,AC53150124,AC19777726,PAYMENT,CARD,SUCCESS,98.40.89.106,Bangalore
TXN17646827113574401,2025-11-22 21:05:31,EUR,43896.33,AC68195314,AC32438746,TRANSFER,NETBANKING,FAILED,210.185.1.44,Hyderabad
TXN17646827113571959,2025-11-26 00:17:31,EUR,47844.55,AC66033576,AC28939341,WITHDRAW,CARD,PENDING,25.48.74.78,Hyderabad
TXN17646827113577862,2025-11-13 01:37:31,USD,22055.09,AC26628073,AC63630298,DEPOSIT,NETBANKING,PENDING,118.165.109.167,Bangalore
TXN17646827113573126,2025-11-20 07:43:31,EUR,42228.48,AC90996455,AC24617910,DEPOSIT,ATM,FAILED,43.69.198.169,Mumbai
TXN1764682711357667,2025-11-25 02:23:31,USD,85422.77,AC84978779,AC14230416,PAYMENT,MOBILE,FAILED,228.180.2.59,Hyderabad
TXN17646827113576759,2025-11-19 04:14:31,GBP,30986.73,AC39326167,AC99013670,PAYMENT,MOBILE,PENDING,137.188.213.226,Bangalore
TXN17646827113576898,2025-11-15 11:48:31,USD,58272.12,AC36723871,AC72640778,WITHDRAW,CARD,PENDING,43.189.77.41,Bangalore
TXN17646827113579375,2025-11-08 15:34:31,USD,55073.85,AC81853924,AC83654431,DEPOSIT,ATM,SUCCESS,209.39.237.124,Hyderabad
TXN1764682711358541,2025-11-18 07:00:31,INR,63535.56,AC34666321,AC87794643,TRANSFER,CARD,SUCCESS,248.198.148.124,Hyderabad
TXN17646827113587066,2025-11-15 14:49:31,GBP,14568.85,AC15669065,AC79759479,PAYMENT,MOBILE,SUCCESS,29.172.88.1,Pune
TXN17646827113582805,2025-11-17 02:22:31,GBP,72715.24,AC88496796,AC12983080,TRANSFER,MOBILE,FAILED,223.202.209.182,Hyderabad
TXN17646827113586936,2025-11-28 07:19:31,USD,42911.08,AC46898315,AC23747373,DEPOSIT,ATM,PENDING,66.149.199.193,Chennai
TXN17646827113581050,2025-11-06 14:18:31,USD,54127.14,AC36418285,AC76137893,TRANSFER,CARD,SUCCESS,147.149.226.16,Mumbai
TXN17646827113583081,2025-12-01 08:10:31,INR,27344.15,AC70983889,AC46858783,DEPOSIT,NETBANKING,FAILED,198.27.59.33,Bangalore
TXN17646827113582034,2025-11-23 05:41:31,USD,51307.04,AC76124938,AC98312019,TRANSFER,NETBANKING,SUCCESS,146.197.182.191,Hyderabad
TXN17646827113582019,2025-11-11 12:11:31,GBP,12271.26,AC53647100,AC87349931,TRANSFER,MOBILE,PENDING,132.203.201.11,Delhi
TXN17646827113585378,2025-11-29 06:37:31,INR,67929.23,AC29732525,AC44226962,PAYMENT,MOBILE,FAILED,243.184.234.243,Mumbai
TXN17646827113582149,2025-11-19 15:59:31,USD,15921.0,AC58610033,AC66356123,DEPOSIT,NETBANKING,SUCCESS,255.95.41.195,Hyderabad
TXN17646827113586914,2025-11-22 04:54:31,INR,89478.72,AC20426853,AC95213978,PAYMENT,NETBANKING,SUCCESS,14.117.139.78,Delhi
TXN17646827113588853,2025-11-13 14:24:31,GBP,55185.22,AC47370007,AC91970572,DEPOSIT,ATM,FAILED,43.253.141.152,Chennai
TXN17646827113585866,2025-11-19 11:19:31,USD,41252.72,AC28301762,AC45251619,DEPOSIT,MOBILE,SUCCESS,164.61.7.132,Chennai
TXN17646827113588085,2025-11-03 21:04:31,INR,47711.37,AC34817170,AC61785303,DEPOSIT,CARD,FAILED,96.242.127.164,Delhi
TXN17646827113581850,2025-11-22 09:06:31,INR,88511.5,AC20575367,AC56578847,TRANSFER,NETBANKING,PENDING,104.122.0.12,Pune
TXN17646827113586438,2025-11-04 23:08:31,GBP,30430.19,AC96911478,AC43493609,TRANSFER,CARD,PENDING,165.161.247.252,Hyderabad
TXN17646827113581807,2025-11-28 10:31:31,INR,27034.59,AC20635253,AC78408692,WITHDRAW,MOBILE,FAILED,115.253.55.195,Delhi
TXN17646827113585907,2025-11-11 13:59:31,GBP,18946.92,AC96958591,AC42664176,PAYMENT,MOBILE,FAILED,116.177.217.229,Pune
TXN17646827113585550,2025-11-20 20:08:31,USD,58638.69,AC74087547,AC81312766,TRANSFER,NETBANKING,FAILED,47.62.21.147,Mumbai
TXN1764682711360444,2025-11-19 04:53:31,USD,19477.36,AC93296216,AC49431364,WITHDRAW,CARD,FAILED,139.14.172.212,Mumbai
TXN17646827113606508,2025-11-25 07:19:31,GBP,24662.16,AC74123169,AC59596373,TRANSFER,CARD,PENDING,225.209.44.227,Bangalore
TXN17646827113607592,2025-11-12 03:55:31,EUR,39066.77,AC62970194,AC43379849,PAYMENT,MOBILE,SUCCESS,173.147.89.24,Hyderabad
TXN17646827113602289,2025-11-26 02:47:31,INR,79146.91,AC88068265,AC68552182,DEPOSIT,ATM,FAILED,25.175.85.108,Delhi
TXN17646827113608143,2025-11-26 18:35:31,GBP,62671.39,AC74998316,AC76835017,PAYMENT,CARD,SUCCESS,68.22.188.62,Hyderabad
TXN17646827113609267,2025-11-10 20:14:31,USD,87711.43,AC19590250,AC44073958,DEPOSIT,NETBANKING,SUCCESS,220.179.240.200,Delhi
TXN17646827113605015,2025-11-15 14:59:31,USD,67608.61,AC90770541,AC66248255,WITHDRAW,CARD,SUCCESS,96.236.13.85,Chennai
TXN17646827113601927,2025-11-22 09:55:31,GBP,26758.98,AC89076116,AC48719395,PAYMENT,NETBANKING,PENDING,252.216.51.172,Pune
TXN17646827113608531,2025-11-06 08:34:31,INR,69499.48,AC58254278,AC33591346,TRANSFER,CARD,PENDING,153.206.208.131,Mumbai
TXN17646827113604135,2025-11-27 03:33:31,USD,26961.62,AC38966294,AC14773198,DEPOSIT,CARD,SUCCESS,251.115.240.37,Mumbai
TXN17646827113609063,2025-11-10 14:12:31,GBP,2606.95,AC27063605,AC67528400,DEPOSIT,MOBILE,PENDING,144.78.210.212,Chennai
TXN17646827113608552,2025-12-02 03:58:31,USD,88980.69,AC21306550,AC27931986,WITHDRAW,MOBILE,SUCCESS,194.113.188.116,Chennai
TXN17646827113608916,2025-11-14 04:53:31,INR,79012.33,AC23987287,AC76793638,PAYMENT,ATM,SUCCESS,89.127.140.248,Bangalore
TXN17646827113601569,2025-11-17 12:06:31,USD,2289.85,AC14568281,AC87302817,DEPOSIT,NETBANKING,FAILED,16.239.201.46,Bangalore
TXN17646827113605552,2025-11-14 05:09:31,USD,36070.52,AC14445925,AC97729124,WITHDRAW,MOBILE,PENDING,102.237.181.176,Mumbai
TXN17646827113609775,2025-11-13 01:06:31,USD,85320.32,AC68370365,AC73332382,TRANSFER,MOBILE,FAILED,15.243.45.129,Mumbai
TXN17646827113609551,2025-11-30 06:02:31,USD,69342.09,AC16966404,AC92441155,PAYMENT,CARD,FAILED,188.165.124.148,Delhi
TXN17646827113608175,2025-11-28 06:57:31,INR,79046.35,AC73865964,AC62003716,TRANSFER,NETBANKING,SUCCESS,61.227.31.170,Pune
TXN17646827113606197,2025-11-07 04:03:31,EUR,11005.45,AC60326577,AC38725367,DEPOSIT,CARD,FAILED,11.120.120.219,Bangalore
TXN1764682711360734,2025-11-30 09:46:31,EUR,52026.26,AC95539950,AC24106148,WITHDRAW,CARD,SUCCESS,86.76.10.126,Hyderabad
TXN17646827113605029,2025-11-05 17:44:31,GBP,76048.62,AC81282205,AC98223958,TRANSFER,NETBANKING,SUCCESS,152.132.113.78,Mumbai
TXN17646827113601533,2025-11-07 12:41:31,EUR,88357.89,AC64336572,AC57677694,DEPOSIT,MOBILE,SUCCESS,145.109.246.86,Bangalore
TXN17646827113619600,2025-11-10 05:24:31,USD,7373.4,AC91915157,AC56562260,DEPOSIT,NETBANKING,FAILED,157.92.6.86,Bangalore
TXN1764682711361802,2025-11-10 06:29:31,EUR,20971.72,AC76298412,AC40779492,WITHDRAW,CARD,PENDING,246.115.185.49,Chennai
TXN17646827113612842,2025-11-28 08:30:31,GBP,10405.86,AC81148157,AC53470765,TRANSFER,NETBANKING,SUCCESS,5.43.200.12,Mumbai
TXN17646827113612268,2025-11-12 07:49:31,EUR,63801.83,AC93009085,AC40488541,DEPOSIT,NETBANKING,SUCCESS,138.243.9.96,Chennai
TXN17646827113617329,2025-11-11 13:04:31,USD,65472.11,AC32772798,AC74910651,DEPOSIT,NETBANKING,FAILED,138.197.63.240,Delhi
TXN17646827113618209,2025-11-21 11:33:31,USD,70404.13,AC51550995,AC53157174,DEPOSIT,MOBILE,FAILED,208.21.59.240,Delhi
TXN1764682711361802,2025-11-13 12:54:31,EUR,87381.77,AC86374524,AC80591491,PAYMENT,CARD,FAILED,179.186.174.44,Pune
TXN17646827113617525,2025-11-13 18:59:31,USD,80049.13,AC24447710,AC88085441,PAYMENT,CARD,FAILED,76.82.139.57,Pune
TXN17646827113618774,2025-11-08 07:54:31,INR,17625.85,AC24112020,AC74921277,TRANSFER,MOBILE,PENDING,6.204.197.141,Delhi
TXN17646827113617781,2025-11-10 21:10:31,EUR,2207.9,AC31677157,AC11191735,PAYMENT,NETBANKING,PENDING,185.13.179.214,Hyderabad
TXN17646827113615079,2025-12-02 09:23:31,EUR,57043.12,AC12919321,AC18560929,DEPOSIT,CARD,PENDING,141.20.208.57,Mumbai
TXN17646827113615781,2025-11-09 14:33:31,GBP,75094.43,AC77132360,AC40455015,PAYMENT,ATM,SUCCESS,19.175.111.46,Chennai
TXN17646827113612530,2025-11-12 19:06:31,EUR,63481.24,AC38535069,AC27885079,PAYMENT,CARD,SUCCESS,43.146.189.65,Hyderabad
TXN17646827113614627,2025-12-01 20:33:31,INR,29261.06,AC34353004,AC91564852,DEPOSIT,MOBILE,SUCCESS,15.166.76.201,Pune
